"","gene","interaction_F","interaction_p","male_age_beta","male_p","male_n","female_age_beta","female_p","female_n","overall_age_beta","overall_p","overall_n"
"1097","IGKC",0.178764897095985,0.672688561526059,-0.00634084144433997,0.0554684079162937,153,-0.00447609463465868,0.121740644995184,212,-0.00530971019339072,0.0145613527499462,365
"1098","ICK",1.44637491707793,0.229898718950642,-0.00027531473604568,0.183902100158865,153,7.26466913714777e-05,0.708510186565107,212,-7.13442811911399e-05,0.615722674867652,365
"1099","ZNF124",1.0504947041319,0.306079474257634,-0.000434881870966022,0.075455403062633,153,-0.000109218948877346,0.592787840169816,212,-0.000248281490139744,0.112510435647884,365
"1100","MX1",1.40722280074889,0.236298111255722,-0.000954876052311632,0.336631368289506,153,0.000732216593888458,0.449237338973308,212,-5.82529458593197e-05,0.934748809791447,365
"1101","STRADB",0.510430926540741,0.475414083275903,0.000191827617540866,0.350834933924449,153,-8.0435365297495e-06,0.965293230309889,212,7.13318485499993e-05,0.603325529376767,365
"1102","NLRC4",0.918285257913446,0.338566937777713,0.000408608167831645,0.173132420795631,153,2.44137622592677e-05,0.92582759115908,212,0.000175940167467066,0.371801566304277,365
"1103","CEP152",0.0343577658323695,0.853051970414256,9.28141941069573e-05,0.660822593325894,153,3.74078804867222e-05,0.852906339939374,212,5.69544929168804e-05,0.697624789177847,365
"1104","MED31",0.775133229011468,0.379219450109797,0.000210184943753153,0.266325264346833,153,-7.76676155334237e-07,0.995891115117978,212,8.27119124689675e-05,0.482092481519661,365
"1105","SFXN5",0.0136066202310306,0.907204324705245,-6.64435763505244e-05,0.702329056809352,153,-3.19377843008491e-05,0.882382452109159,212,-5.6498638249221e-05,0.698149898073292,365
"1106","PTTG1",0.614443673315146,0.433633577113189,9.20946478140208e-05,0.653289641007491,153,0.000315866364527432,0.0994443797479917,212,0.000223976923791181,0.110367458696906,365
"1107","ATP10A",0.456985529999353,0.499469005905861,4.01185223579398e-05,0.847359796784099,153,-0.000151038799780149,0.41804249117057,212,-8.97877911074615e-05,0.522903862218155,365
"1108","CKS1B",0.0406114410877595,0.840403303210602,7.71437945336815e-05,0.684989411523026,153,0.000125884858525717,0.409343003969926,212,0.000106716907316947,0.368321210415142,365
"1109","VNN2",0.766761016733069,0.381803174635373,0.0001379576728363,0.646799124475315,153,-0.000230399756763615,0.414538841579865,212,-7.60817023265542e-05,0.712535941309649,365
"1110","LINC00528",0.766687154410177,0.381826079964944,0.000273409474309586,0.189239137759429,153,1.30957834770266e-05,0.948314307967441,212,0.000113417831607855,0.437731959638053,365
"1111","FCSK",0.0119617430797673,0.912969992007508,-0.000142645985777155,0.549424346958025,153,-0.000109712242160543,0.561543411845497,212,-0.000119025225630737,0.420528561290799,365
"1112","NUDT14",4.25069374479304,0.0399496954030854,3.14526645211261e-05,0.889398006426659,153,0.000616104099072249,0.000586786219751366,212,0.000371423607998776,0.00829787032291668,365
"1113","PDE8A",0.0327016636847634,0.856597773846296,-0.000345555411840363,0.0960961589980826,153,-0.000293815323913211,0.124720857712892,212,-0.000319796624724903,0.0232214163042198,365
"1114","ARHGAP32",2.59929448934565,0.107785153041564,-7.80151843618107e-05,0.717213094298026,153,0.000327193855250852,0.0263720909834013,212,0.000165871777666504,0.18068565518602,365
"1115","MBOAT2",2.192726211032,0.139535924577906,-0.000228620893224053,0.366236087278258,153,0.000205495478420159,0.226900261090924,212,3.47460495269989e-05,0.809846174834346,365
"1116","LTC4S",0.162325306751339,0.687263116079113,-6.68756938239782e-05,0.739835184282603,153,-0.000171502432817951,0.300352161270689,212,-0.000123234349400816,0.33418591903924,365
"1117","MIR497HG",0.139763913230506,0.70873529327782,-3.44232761492365e-05,0.885524077966954,153,-0.00015282301259316,0.457403581158845,212,-0.000105001653212968,0.498990787385657,365
"1118","PPP1R14A",0.526172017898925,0.468690630684034,0.000182834031625623,0.578892610362533,153,0.000484218635185587,0.0638665691029007,212,0.000361213676124261,0.076958314543362,365
"1119","SEMA7A",8.36102571233194,0.00406566354491252,-0.000573946962756164,0.00876391915859045,153,0.000166440324821209,0.272066175714472,212,-0.000121003275801271,0.346691420957304,365
